Athlete,Week,Day of the Week,Category,Exercise,Reps,Sets,Set,Set_Reps,Set_Weight,Variant,Notes,Unnamed: 0,Athlete comments
Daniele Conca,2025_11,3,Snatch,Strappo,,,4,,,,,,
Daniele Conca,2025_11,3,Clean and Jerk,Slancio,,,4,,,,,,
Daniele Conca,2025_11,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_11,1,Snatch,Strappo,1.0,4.0,5,0.0,90.0,,"Numero di serie indicativo, partenze",,
Daniele Conca,2025_11,1,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,5,,,,"Numero di serie indicativo, partenze. Se ti fa male la schiena saltalo",,
Daniele Conca,2025_11,2,Snatch,Strappo sosp,1.0,4.0,5,,,,70-75 kg,,
Daniele Conca,2025_11,2,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,5,,,,90-95 kg. Se ti fa male la schiena saltalo,,
Daniele Conca,2025_11,3,Snatch,Strappo,,,5,,,,,,
Daniele Conca,2025_11,3,Clean and Jerk,Slancio,,,5,,,,,,
Daniele Conca,2025_11,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_11,1,Snatch,Strappo,1.0,4.0,6,,,,"Numero di serie indicativo, partenze",,
Daniele Conca,2025_11,1,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,6,,,,"Numero di serie indicativo, partenze. Se ti fa male la schiena saltalo",,
Daniele Conca,2025_11,2,Snatch,Strappo sosp,1.0,4.0,6,,,,70-75 kg,,
Daniele Conca,2025_11,2,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,6,,,,90-95 kg. Se ti fa male la schiena saltalo,,
Daniele Conca,2025_11,3,Snatch,Strappo,,,6,,,,,,
Daniele Conca,2025_11,3,Clean and Jerk,Slancio,,,6,,,,,,
Daniele Conca,2025_11,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_11,1,Snatch,Strappo,1.0,4.0,7,,,,"Numero di serie indicativo, partenze",,
Daniele Conca,2025_11,1,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,7,,,,"Numero di serie indicativo, partenze. Se ti fa male la schiena saltalo",,
Daniele Conca,2025_11,2,Snatch,Strappo sosp,1.0,4.0,7,,,,70-75 kg,,
Daniele Conca,2025_11,2,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,7,,,,90-95 kg. Se ti fa male la schiena saltalo,,
Daniele Conca,2025_11,3,Snatch,Strappo,,,7,,,,,,
Daniele Conca,2025_11,3,Clean and Jerk,Slancio,,,7,,,,,,
Daniele Conca,2025_11,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_11,1,Snatch,Strappo,1.0,4.0,8,,,,"Numero di serie indicativo, partenze",,
Daniele Conca,2025_11,1,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,8,,,,"Numero di serie indicativo, partenze. Se ti fa male la schiena saltalo",,
Daniele Conca,2025_11,2,Snatch,Strappo sosp,1.0,4.0,8,,,,70-75 kg,,
Daniele Conca,2025_11,2,Clean and Jerk,Girata in piedi + spinta,1.0,4.0,8,,,,90-95 kg. Se ti fa male la schiena saltalo,,
Daniele Conca,2025_11,3,Snatch,Strappo,,,8,,,,,,
Daniele Conca,2025_11,3,Clean and Jerk,Slancio,,,8,,,,,,
Daniele Conca,2025_11,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_12,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_13,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,1,3.0,60.0,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,1,3.0,80.0,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,1,3.0,100.0,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,2,3.0,65.0,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,2,3.0,80.0,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,2,3.0,100.0,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,3,3.0,70.0,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,3,3.0,80.0,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,3,3.0,100.0,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,4,3.0,75.0,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,4,3.0,80.0,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,4,3.0,100.0,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,5,,,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,5,,,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,5,,,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,6,,,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,6,,,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,6,,,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,7,,,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,7,,,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,7,,,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_14,1,Snatch,Strappo sosp,3.0,4.0,8,,,,"Muscolazione, stretching, e visite",,
Daniele Conca,2025_14,1,Snatch pull,Tirate strappo sosp,3.0,4.0,8,,,,,,
Daniele Conca,2025_14,1,Squat,Gambe avanti,,,8,,,,,,
Daniele Conca,2025_14,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,1,3.0,70.0,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,1,3.0,85.0,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,1,4.0,115.0,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,1,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,1,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,1,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,2,3.0,75.0,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,2,3.0,90.0,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,2,4.0,115.0,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,2,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,2,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,2,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,3,3.0,75.0,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,3,3.0,90.0,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,3,4.0,120.0,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,3,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,3,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,3,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,4,3.0,80.0,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,4,3.0,95.0,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,4,,,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,4,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,4,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,4,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,5,,,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,5,,,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,5,,,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,5,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,5,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,5,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,6,,,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,6,,,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,6,,,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,6,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,6,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,6,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,7,,,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,7,,,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,7,,,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,7,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,7,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,7,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_15,1,Snatch,Strappo sosp bassa,3.0,4.0,8,,,,,,
Daniele Conca,2025_15,1,Snatch pull,Tirate strappo sosp,3.0,4.0,8,,,,,,
Daniele Conca,2025_15,1,Squat,Gambe avanti,4.0,3.0,8,,,,,,
Daniele Conca,2025_15,2,Clean,Girata sosp,2.0,4.0,8,,,,,,
Daniele Conca,2025_15,2,Jerk,Spinte in spaccata,2.0,4.0,8,,,,,,
Daniele Conca,2025_15,2,Accessory,Push press,4.0,3.0,8,,,,,,
Daniele Conca,2025_15,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,1,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,1,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,1,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,2,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,2,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,2,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,3,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,3,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,3,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,4,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,4,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,4,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,5,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,5,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,5,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,6,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,6,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,6,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,7,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,7,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,7,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2025_16,1,Clean and Jerk,Slancio,1.0,5.0,8,,,,,,
Daniele Conca,2025_16,1,Snatch,Snatch balance,2.0,4.0,8,,,,,,
Daniele Conca,2025_16,1,Squat,Gambe dietro,3.0,3.0,8,,,,,,
Daniele Conca,2025_16,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2025_17,1,Clean and Jerk,Slancio,1.0,6.0,1,1.0,90.0,,,,
Daniele Conca,2025_17,1,Snatch,Strappo inguine no piedi,2.0,3.0,1,2.0,70.0,,,,
Daniele Conca,2025_17,1,Squat,Gambe dietro,3.0,3.0,1,3.0,130.0,,,,
Daniele Conca,2025_17,2,Snatch,Strappo sosp bassa,1.0,4.0,1,1.0,70.0,,Oggi lavora leggero,,
Daniele Conca,2025_17,2,Jerk,Spinte in spaccata,1.0,4.0,1,1.0,90.0,,Oggi lavora leggero,,
Daniele Conca,2025_17,3,Snatch,Strappo,1.0,4.0,1,1.0,85.0,,,,
Daniele Conca,2025_17,3,Clean and Jerk,Slancio,1.0,4.0,1,1.0,100.0,,,,
Daniele Conca,2025_17,3,Squat,Gambe avanti,3.0,3.0,1,3.0,120.0,,,,
Daniele Conca,2025_17,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2025_17,1,Clean and Jerk,Slancio,1.0,6.0,2,1.0,100.0,,,,
Daniele Conca,2025_17,1,Snatch,Strappo inguine no piedi,2.0,3.0,2,2.0,70.0,,,,
Daniele Conca,2025_17,1,Squat,Gambe dietro,3.0,3.0,2,3.0,135.0,,,,
Daniele Conca,2025_17,2,Snatch,Strappo sosp bassa,1.0,4.0,2,1.0,70.0,,Oggi lavora leggero,,
Daniele Conca,2025_17,2,Jerk,Spinte in spaccata,1.0,4.0,2,1.0,90.0,,Oggi lavora leggero,,
Daniele Conca,2025_17,3,Snatch,Strappo,1.0,4.0,2,,,,,,
Daniele Conca,2025_17,3,Clean and Jerk,Slancio,1.0,4.0,2,1.0,105.0,,,,
Daniele Conca,2025_17,3,Squat,Gambe avanti,3.0,3.0,2,3.0,125.0,,,,
Daniele Conca,2025_17,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2025_17,1,Clean and Jerk,Slancio,1.0,6.0,3,1.0,110.0,,,,
Daniele Conca,2025_17,1,Snatch,Strappo inguine no piedi,2.0,3.0,3,2.0,75.0,,,,
Daniele Conca,2025_17,1,Squat,Gambe dietro,3.0,3.0,3,3.0,140.0,,,,
Daniele Conca,2025_17,2,Snatch,Strappo sosp bassa,1.0,4.0,3,1.0,75.0,,Oggi lavora leggero,,
Daniele Conca,2025_17,2,Jerk,Spinte in spaccata,1.0,4.0,3,1.0,95.0,,Oggi lavora leggero,,
Daniele Conca,2025_17,3,Snatch,Strappo,1.0,4.0,3,,,,,,
Daniele Conca,2025_17,3,Clean and Jerk,Slancio,1.0,4.0,3,1.0,110.0,,,,
Daniele Conca,2025_17,3,Squat,Gambe avanti,3.0,3.0,3,3.0,130.0,,,,
Daniele Conca,2025_17,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
